,0,1,2,3,4
0,tidak_ sekolah online sebentar walaupun mulai masuk offline tiap hari senin sama kamis sekolah online tetep jalan,netral,"@Fajri_UN1TY Ngga 😭 aku masih sekolah online ntar,walupun udah mulai masuk offline sih setiat hari senin sama kamis tapi sekolah online ny tetep jalan🙁",2021-10-29 23:21:19+00:00,adena_arta
1,mau sekolah offline,negatif,hhhh gua g mau sekolah offline 👎 https://t.co/LJbBMHks5d,2021-10-29 22:59:34+00:00,ssukuuna
2,main keluar kumpul sama teman terus pasti sekolah offline,positif,"Main keluar, bisa kumpul sama temen terus yang pasti sekolah offline",2021-10-29 19:20:02+00:00,dinoterbaang
3,benar semenjak sekolah offline tidak_ bangun siang tidak_apa benar agak bagaimana iya waktu hari minggu bangun jam,netral,"Beneran deh, semenjak sekolah offline ga bisa bangun siang lagi gapapa sih sebenarnya tapi agak gimana ya, pas hari Minggu bangun jam 7/8",2021-10-29 17:03:37+00:00,ennorenn
4,tuju tidak_sekolah offline sekarang teman tidak_seru sekolah offline dulu,negatif,"setuju ga, sekolah offline skrg temen""nya ga seseru sekolah offline yg dulu ?",2021-10-29 16:43:49+00:00,I_EN_U
5,sejak sekolah online buat sadar nyata kalau offline gampang paham anjing,nan,"sejak sekolah online ini membuatku tersadar, ternyata kalo offline gampang paham bgsttt",2021-10-29 15:39:47+00:00,revandyr_
6,saya tidak_tahu saya rasa tidak_suka masuk offline iya padahal teman akrab akrab tapi tidak_mau sekolah ada sama,negatif,"Sch! Idk why gw ngerasa gasuka masuk offline ya? Padahal temen akrab-akrab aja, tapi ga mau aja sekolah gt :( , ada yg sm ga?",2021-10-29 15:31:01+00:00,subschfess
7,ngomong-ngomong kan angkat iya rasa jaring cuma bulan tidak_lulus sekarang kuliah full jaring rasa banget beda kalau sekolah offline lebih gampang kejar nilai dekat guru lebih paham sama materi sampai sedang online susah dekat guru cari nilai lebih,positif,"@cogitoergosum67 @schfess btw aku kan akt 20 ya, ngerasain daring cuma 2bulan sebelum lulus. skrg kuliah full daring, ngerasain banget bedanya. kalo sekolah offline lebih gampang ngejar nilai+deketin guru, lebih paham juga sm materi yg disampein. sedangkan online agak susah deketin guru+cari nilai lebih:(",2021-10-29 15:04:23+00:00,imyourmwork_
8,sekolah offline astaga jujur tidak_siap,negatif,"@subschfess Sekolah gw offline astagfirullah 😭😭😭
Jujur belum siap😩",2021-10-29 13:09:03+00:00,ygikitty
9,lebih enak sekolah online apa offline,netral,lebih enak sekolah online apa offline?,2021-10-29 12:36:13+00:00,yayyyfy
10,sekolah kayak pasti offline,netral,@subschfess sekolah gue keknya udh fix offline deh,2021-10-29 12:29:08+00:00,skieskaluv
11,yang takutin waktu sekolah offline rebah batas nonton film batas mana kabar minggu full offline brengsek,negatif,"Ini yg gua takutin pas sekolah offline, rebahan terbatas, drakoran terbatas, mana kabarny ntr 1 minggu full offline, bremsek",2021-10-29 12:28:39+00:00,astrxjakehoon
12,semenjak sekolah offline jadi banyak ubah,netral,Semenjak sekolah offline jdi banyak yg berubah,2021-10-29 12:27:24+00:00,astrxjakehoon
13,neng neng sekolah offline nyata tau kelas dua habis duduk sesuai urut absen,positif,udah seneng seneng sekolah offline eh taunya kelasnya dibagi dua abis itu duduknya sesuai urutan absen,2021-10-29 12:26:20+00:00,bbrlljys
14,apa cuma sekolah saja iya sejak sekolah mulai offline tugas jadi kurang trivia turut ahli nenek moyang bangsa indonesia asal rumpun austronesia,positif,"Sch! Apa cuma sekolah aku aja ya sejak sekolah mulai offline lagi tugas jadi berkurang?

✄・・・
🧐 Trivia: Menurut para ahli nenek moyang bangsa Indonesia berasal dari rumpun Austronesia",2021-10-29 11:49:54+00:00,subschfess
15,kok sekolah beda sejak mulai offline tugas makin jarang,positif,@vazlae @Raranununana Lah ko sekolah aku berbeda sejak mulai offline tugasnya makin jarang,2021-10-29 11:49:18+00:00,dsm1603
16, bisa jadi kalau offline tidak_ biasa soal  kadang bahkan lancar kalau sekolah sama sama lain,positif,"@schfess Sksksk...iki bisa terjadi kalau offline gak sihh, aku biasanya gitu soalnya. Wkwkwk, kadang malah lancar kalau di sekolah, bareng sama yang lain🥺🥺",2021-10-29 11:28:29+00:00,Cyltma
17,kalian pada sekolah offline tidak_,netral,kalian udh pada sekolah offline blm sie ?,2021-10-29 11:13:51+00:00,rockstarggukie
18,sekolah offline nyata kelas pisah,negatif,udah sekolah offline eh kelasnya dipisah 💔,2021-10-29 11:01:01+00:00,bbrlljys
19,besok sekolah offline padahal biasa kalau online hari sabtu libur,negatif,besok sekolah offline 😭😭 padahal biasanya kalo online hari sabtu libur 😭😭 t__t,2021-10-29 10:47:03+00:00,urownkid
20,aduh senin depan sekolah offline tidak_apa tapi suka deg deg,netral,hDeh senin depan sekolah offline gapapa si tapi suka deg degan ajaa😩😩,2021-10-29 08:30:41+00:00,byunanaeri
21,kalau tidak_ baca balik sana tk anjing berapa kali bilang kalau salah bodoh banget ibu penting sekolah offline,negatif,"kalo nda bisa baca balik sana ke TK anj harus berapa kali lagi bilang kalo dia salah gblg bgt 💀
inilah bunda pentingnya sekolah offline 🙂",2021-10-29 08:28:41+00:00,hiddlenoodle
22,dulu waktu jaring terus kabar mau offline neng banget rindu sekolah offline waktu offline jalan minggu walaupun tidak_tiap minggu turut turut jadi milih jaring deh tertawa,netral,"dulu waktu daring terus dapet kabar mau ptm tuh seneng banget, kangen sekolah offline. tapi waktu ptm udah berjalan dua minggu walaupun ngga setiap minggu berturut turut, jadi milih daring aja deh wkwk",2021-10-29 08:23:05+00:00,wolfiebearx
23,mulai kerja rumah hampir semua kerja anter mama terapi rumah sakit minggu kali terus minggu depan adik sudah mulai offline yang mana harus antar jemput ke perum tidak_ sekolah minggu kali,negatif,"mulai dari kerjaan rumah, hampir semua gua yg ngerjain deh, nganter mama terapi ke rumah sakit seminggu bisa 3 kali, trus mingdep ade gue udh mulai offline yg mana gue hrus anter jemput dia ke perum:’) belum gue sekolah seminggu 2/3 kali",2021-10-29 06:20:32+00:00,carnaival
24,wah asik benar sekolah offline,positif,@sugnhoonn widih asik bener sekolah offline,2021-10-29 05:54:09+00:00,socqlin
25,anjing lama sangat sekolah offline jam,negatif,@patronousss anj lama amat gw sekolah offline 2 jam doang😹,2021-10-29 05:20:03+00:00,stoberienaktau
26,sekolah offline lelah google classroom di sekolah ada banyak banget malas lebih baik pj,negatif,Kek sekolah offline tuh capek? Di gcr ada di sekolah juga ada banyak bgt mls mending pjj aja,2021-10-29 04:11:02+00:00,pixieloww
27,sekolah offline lelah lebih lelah rumah,netral,"sekolah offline capek, tapi lebih capek di rumah si",2021-10-29 03:44:37+00:00,jenopawcat
28,kayak besok offline tidak_dilanjutin ish kelompok sekolah bahkan muncul sebentar makin tidak_paham materi bagaimana uji weh,negatif,"Keknya besok offline nya ga dilanjutin dehhh

Ishh kenapa cluster sekolah malah muncul siii😭

Ntar makin ga paham materiii
Gimana ujian wehhh😭😭",2021-10-29 02:09:03+00:00,Ocehangadis1
29,sekolah offline lumayan pinter nyata,positif,Sekolah offline lumayan pinter ternyata,2021-10-29 02:06:41+00:00,winterlxliy
30,begini kalau sekolah offline bahkan sibuk foto sama guru,negatif,"gini kalau udah sekolah offline, malah pada sibuk selfie sama gurunya 😶 https://t.co/CI01OA86RN",2021-10-29 01:13:29+00:00,tadhik23
31,kagum offline iya masih sekolah online dong,negatif,@suhfamel_ Wah udah offline ya.. aku masih sekolah online dong😩✋,2021-10-29 00:44:09+00:00,din0saniix
32,sekolah enak offline uji online,positif,@selenoophilee23 Sekolah tuh enak offline tapi ujiannya online aja,2021-10-29 00:37:54+00:00,vsjay_03
33,beli butuh kalau bawa laptop mana mana kan ribet kamu buat hari hari ribet lebih praktis hp semangat iya kamu sekolah offline,positif,"@schfess beliii, ini kebutuhan... kalo bawa laptop ke mana mana kan ribet juga nder, buat sehari hari gitu ribet. lebih praktis hp... semangat ya nder sekolah offline nya!!",2021-10-28 23:22:16+00:00,CHANYU98
34,aduh benar tidak_kuat sama sekolah offline tahi padahal cuma jam saya tiap minggu sakit melulu,negatif,aduh gue beneran ga kuat sama sekolah offline taikkk padahal cuma 2 jam TAPI GUE TIAP MINGGU NGEDROP MULU,2021-10-28 23:04:40+00:00,hinomoori
35,kamu sekolah offline semangat karena uang jajan,positif,Untuk kamu yg sekolah offline bersemangat lah karena dpt uang jajan,2021-10-28 22:49:53+00:00,Bismikaallahu
36,hari saya sekolah offline,negatif,hari ini ak sekolah offline ksjejwkskajjsjsjs 😔😔,2021-10-28 21:15:36+00:00,shinejaemine
37,hari harus sekolah offline tidak_mau masuk ada mata ajar matematika alias tidak_tahu apa apa,negatif,"Hari ini harusnya sekolah offline, tp gamau masuk karna ada mapel mtk alias sy gatau apa apa 💔",2021-10-28 19:01:17+00:00,santorryyu
38,kalau jujur tidak_suka sekolah offline saya stres banget anjing guru marah murid terus bilang kalau pj kita sering sontek buku iya memang iya pak bu kamu mikir tidak_ iya pepet mau bagaimana ajar kan kurang anjing anjing salah ros,negatif,"Kl boleh jujur sih aku gasuka sekolah offline, aku stres bgt anjingggg gurunya marahin muridnya trs mereka blg kl pjj tuh kita keseringan nyontek buku. Ya emg, ya pak bu lo mikir kaga kita gt ya karna kepepet mau gmn lg pembelajaran nya kan kurang asu asu salah teros",2021-10-28 17:41:24+00:00,jaeclownx
39,besok tidak_siap sekolah offline jur,negatif,bsk ga siap sekolah offline jjur,2021-10-28 17:35:48+00:00,alesppace
40,schap teman rasa terlalu gantung sama google sampai tidak_siap mau sekolah offline mau coba ajar awal tapi lekat banget sama brainly dk sedih,negatif,"SchApp! Gais, aku merasa terlalu bergantung sama google deh sampe gak siap mau sekolah offline T____T. Mau coba belajar dari awal lagi, tapi udah lekat banget sama brenli dkk. HUHU HELP....",2021-10-28 17:03:23+00:00,schfess
41,mau buru buru sekolah offline,netral,mau buru buru bisa sekolah offline,2021-10-28 16:23:09+00:00,BYRlSM
42,tidak_jadi semangat sekolah offline makin lama makin malas gerak,negatif,"gajadi semangat sekolah offline deh, makin lama makin mager",2021-10-28 16:21:30+00:00,kathbukankucing
43,harap tahun depan moga makin sehat tidak_ malas malas moga makin fokus ajar cv cepat hilang iya moga tidak_ cv sekolah buka offline jalan seperti biasa tidak_ pakai sesi sesi ribet,positif,"@astraeboi @jungkookvers7 @collectym @laurarisa_17 harapan untuk tahun depan, semoga semakin sehat, ga ada malas malasan lagi, semoga semakin bisa fokus pelajaran, cv19 cepat hilang deh ya, aamiin, kembali kayak sebelum ada cv19 sekolah dibuka offline dan berjalan seperti biasanya, ga ada pake sesi sesi, ribetttt https://t.co/CBnl3CZGso",2021-10-28 15:45:44+00:00,rheathenaa
44,besok pagi tidak_ balas pesan iya soal sekolah offline saya balas waktu pulang,netral,"Bsk pagi aku gabisa bales dm yaa soalnya sekolah offline, nnti aku bales pas udah pulangg 😊",2021-10-28 15:25:27+00:00,Mwi_indomie
45,offline lama pandemi hanya bawa risiko lebih tinggi,negatif,PTM selama pandemi ini hanya akan membawa risiko yang lebih tinggi. ,2021-10-28 15:30:27+00:00,GuruBuntu
46,harus offline rasa nyaman ajar online,negatif, Mengapa harus ada PTM? Kami merasa nyaman dengan pembelajaran online,2021-10-28 15:44:27+00:00,SiswaKecewa
47,kirim anak anak sekolah pandemi tindak tidak_tanggung jawab,negatif,Mengirim anak-anak ke sekolah saat pandemi adalah tindakan yang tidak bertanggung jawab,2021-10-28 15:33:27+00:00,OrangTuaWaswas
48,offline akan lonjak kasus covid sekolah,negatif,PTM hanya akan menyebabkan lonjakan kasus Covid-19 di sekolah,2021-10-28 15:32:27+00:00,PendidikanTerhenti
49,cukup stres ajar online tidak_perlu tambah dengan offline risiko,negatif,"Sudah cukup stres belajar online, tidak perlu ditambah lagi dengan PTM yang berisiko",2021-10-28 15:31:27+00:00,StresBelajar
50,kampus tidak_lihat hilal bakal offline tidak_ bahas sama sekali soal tidak_apa neng soal harap banget kalau sampai komprehensif online terus tidak_repot kalau offline lebih ribet soal lebih gugup,negatif,kampus w belom terlihat hilal bakal luring dah. blm ada bahasan sama sekali soalnya. gapapa si w seneng aja soalnya berharap bgt kalo bisa ampe kompre online trus biar ga repot. kalo offline lebih riweuh soalnya dan lebih gugup pasti 🥲,2021-10-29 15:36:14+00:00,thisbtsvlog
51,ajar biasa offline uji jaring,netral,"@menfesssyg plajaran biasa luring, ujian daring 👍",2021-10-29 15:12:08+00:00,yaeyaoyao
52,lama jaring waktu offline lupa pakai awat muncul muka asli,negatif,"@WagimanDeep212_ Kelamaan daring,pas luring  kelupaan  pake skinker,nongol dah muka aslinya",2021-10-29 15:03:41+00:00,MicksMarzuq
53,anjing kampus sudah mau offline,negatif,anjeng kampus gua udh mau luring,2021-10-29 14:42:29+00:00,9530I2
54,pandemi kakak milih jaring rumah salah sendiri milih offline eaeaea,negatif,@lyshcious_ pandemi mbak pada milih daring  dirumah salahnya sendirii milih luring eaeaeaaaaa🤣,2021-10-29 12:11:10+00:00,karinaaslibgt
55,kuliah tertawa hihi tahu semester harus pkl offline pertama kali datang rs kirain itu kating soal buat panggil pasien jago banget buat periksa sudah mantap habis kenal baru tahu nyata adik tingkat bagaimana tidak_minder,negatif,"Kuliah haha hihi  aja tau"" udah smt 5 dan kudu pkl luring. Pertama kali datang ke rs kirain mereka itu yg kating soalnya buat manggil pasien aja udah jago bgt, buat pemeriksaan dah mantep lah. Abis perkenalan baru tau trnyt dia adek tingkat, gmn ga insecure :)",2021-10-29 11:33:13+00:00,lynnyl01
56,besok offline malas ya tapi semangat cik lt,negatif,"besok luring, hffft males tapi ywd ttp smngt ciki!! &lt;/3",2021-10-29 11:24:50+00:00,aureadied
57,langit kamu turun jadwal offline baru tidak_siap sekolah jam tengah terus tidur siang ganti tema jadi tidur sore,negatif,"Langit bisakah kau turunkan jadwal luring baru ? Aku ga siap sekolah sampai jam setengah 4 . 
Terus tidur siang ganti tema jadi tidur sore.",2021-10-29 09:15:55+00:00,mrcijevousnprie
58,senang lihat siswa siswa semangat ajar tatap muka sekolah,positif,Senang melihat siswa-siswa kembali bersemangat belajar tatap muka di sekolah!,2021-10-29 09:45:55+00:00,PintarBersama
59,lama ajar online offline buat interaksi antar siswa makin seru senang,positif,"Setelah lama belajar online, PTM membuat interaksi antar siswa semakin seru dan menyenangkan!",2021-10-29 09:26:55+00:00,SiswaCerdas
60,terima kasih guru guru telah kerja keras selenggara offline protokol sehat ketat,positif,Terima kasih kepada guru-guru yang telah bekerja keras untuk menyelenggarakan PTM dengan protokol kesehatan yang ketat.,2021-10-29 09:24:55+00:00,EdukasiBerkualitas
61,rasa senang temu teman teman sekolah ajar sama cara langsung,positif,Rasanya begitu menyenangkan bisa bertemu teman-teman di sekolah dan belajar bersama secara langsung. ,2021-10-29 09:23:55+00:00,AnakKreatif
62,offline buat suasana ajar lebih hidup penuh semangat terima kasih sekolah,positif,PTM membuat suasana belajar lebih hidup dan penuh semangat. Terima kasih sekolah!,2021-10-29 09:30:55+00:00,MajuBersama
63,waktu offline tidak_usah double masker,positif,Biar pas luring gausah double mask😩🙏🏻 https://t.co/0AuAZLEUo0,2021-10-29 08:32:09+00:00,ververoveraar
64,senang offline,positif,alhamdulillah luring 😃,2021-10-29 07:12:07+00:00,Djordanto
65,banget praktikum offline,negatif,harus bgt nih praktikum luring😭,2021-10-29 05:43:27+00:00,teaspicyy
66,inbound kampus jawa timur bahkan jaring padahal banyak kampus ada jawa timur meluringkan modul nusantara jember kasus berita media zero case beberapa minggu bahkan bulan masa tidak_ offline ayo mau offline,positif,"inbound di unej jatim, tp malah daring, padahal bnyk kampus yg ada di jatim yg meluringkan modul nusantara, lah jember kasus yg diberitakan dimedia sudah zero case beberapa minggu, bahkan bulanan, masa kami ga dapat luring😭 ayolah kami pengen luring @nadiemmakarim @Kemdikbud_RI",2021-10-29 05:36:41+00:00,nukkkkkz
67,kata tukar makna lama ini tidak_ rasa makna lama pak ayo pak banyak mahasiswa ingin offline janji awal pak,positif,"tapi katanya “bertukar sementara, bermakna selamanya” tapi ini kok ga ada rasanya bermakna selamanya pak? @Kemdikbud_RI @nadiemmakarim ayolah pak, banyak mahasiswa yg menginginkan luring seperti janji di awal pak😭",2021-10-29 05:32:44+00:00,nukkkkkz
68,lelah awal janji giat tukar mahasiswa offline nyata tahu tau jaring kecewa ayo dong pak offline semua giat modul nusantara yang offline gp pak,negatif,"cape, diawal dijanjikan kegiatan pertukaran mahasiswa bakalan luring, ehhh tau taunya daring, kecewa💔😮‍💨 ayo dongg pak luring aja semua kegiatannya, modul nusantara aja yg luring gpp pak🥺 @nadiemmakarim @Kemdikbud_RI 
#pertukaranmahasiswa #mahasiswainboundunej #pmm",2021-10-29 05:30:02+00:00,nukkkkkz
69,sih offline padahal enak during anjing,negatif,knp sih pada luring pdhal enakan during ajg,2021-10-29 05:20:13+00:00,flwrbp
70,offline nyata buat stres siswa guru gabung jaring offline pemkab kaji sistem shift,positif,"PTMT ternyata bikin stres siswa dan gurunya, karena gabungan daring luring. Pemkab kaji sistem Shift? #wonosobo
https://t.co/f8FOgB0CPw",2021-10-29 04:24:03+00:00,WonosoboUp
71,kapan sekolah normal guru pada pusing hari didik metode jaring offline,negatif,Kapan sekolah kembali normal ? Gurunya udah pada mumet dalam sehari harus ngajar dengan 2 metode daring dan luring 😭,2021-10-29 04:21:41+00:00,_kierana_
72,memang enak offline panjang hari masuk selang seling sedih,positif,Emang sih enakan luring fullday dripd masuk selang seling huhu,2021-10-29 01:41:45+00:00,elceah_
73,suruh bimbing offline aku tidak_ uang buat cetak out lembar,negatif,Disuruh bimbingan luring... saya tak ada duit laaa buat print out 90 lembar 🥲,2021-10-29 01:33:10+00:00,zieovs
74,offline masa pandemi hanya korban sehat siswa guru,negatif,PTM di masa pandemi ini hanya mengorbankan kesehatan siswa dan guru.,2021-10-29 01:22:10+00:00,PendidikanKacau
75,sekolah offline lama pandemi hanya buruk situasi,negatif,Sekolah offline selama pandemi ini hanya memperburuk situasi. ,2021-10-29 01:45:10+00:00,PendidikanKrisis
76,harus ambil risiko offline nyawa siswa tidak_harga,negatif,Mengapa harus mengambil risiko dengan PTM? Apakah nyawa siswa tidak berharga?,2021-10-29 01:12:10+00:00,SiswaTerabaikan
77,offline tengah pandemi tunjuk ketidakseriusan jaga selamat siswa,negatif,PTM di tengah pandemi hanya menunjukkan ketidakseriusan dalam menjaga keselamatan siswa.,2021-10-29 01:10:10+00:00,PendidikanKekacauan
78,bagai guru offline buat aku khawatir tiap hari kapan ada solusi lebih aman,negatif,"Sebagai guru, PTM membuat saya khawatir setiap hari. Kapan akan ada solusi yang lebih aman?",2021-10-29 01:04:10+00:00,GuruGelisah
79,silah teman teman pesan aku sama sama dengar lembaga siap bantu fasilitas jaring offline,positif,"@Dita_Sari_ @taktekbum @SerikatMagang @KemnakerRI @EmancipateID @wilsonsitorus @ChangeOrg_ID Monggo teman-teman @SerikatMagang, boleh DM saya / @EmancipateID. Kita bareng-bareng audiensi dengan Kemnaker. Kami siap bantu fasilitasi daring / luring.",2021-10-29 01:31:30+00:00,margianta
80,casa offline,positif,"@xyvancaa Casa, udah luring?",2021-10-29 01:13:53+00:00,yutanasweet
81,ugm fes tempat surat terang sehat mana iya mau praktikum offline soal makas,positif,ugm_fess tempat dapet surat keterangan sehat dimana ya? Mau praktikum luring soalnya. Makasii 🙏🏻,2021-10-29 01:07:20+00:00,UGM_FESS
82,offline apa,netral,@sgmlf_ luring tuh apa??,2021-10-29 01:02:25+00:00,worldwidexmoon
83,saya hari lagi offline,negatif,@worldwidexmoon tapi gue hari ini lagi luring:(,2021-10-29 00:57:36+00:00,sgmlv_
84,tidak_kayak uji kemarin offline,negatif,"engga kayaknya, pts kemaren aja luring😔😔😔😔",2021-10-29 00:28:05+00:00,iamkaj0rn_
85,mati ambil rapot offline lain ambil rapot jaring kamu teman teman offline harap untung teman makan kendara legend,negatif,"MAMPUS NGAMBIL RAPOT LURING, yang lainnya ngambil rapot daring tapi lu dan teman-teman LURING hahaha wish u luck brokh MAKAN TUH MOBIL LEJEN",2021-10-29 00:27:36+00:00,_voltaction
